Constituent ID,History Total Years As Member,History Total Active Memberships
"108326676","11","2"
"108326676","3","2"
"108326679","6","2"
"108326683","3","0"
"108326683","3","0"
"108326704","2","1"
"108326712","6","0"
"108326727","11","1"
"108326735","1","0"
"108326735","2","0"
"108326735","1","0"
"108326737","1","0"
"108326737","4","0"
"108326738","2","0"
"108326740","2","0"
"108326749","10","2"
"108326754","5","1"
"108326754","3","1"
"108326762","3","1"
"108326762","2","1"
"108326762","1","1"
"108326784","1","1"
"108326784","1","1"
"108326796","7","1"
"108326801","2","1"
"108326801","4","1"
"108326801","3","1"
"108326810","3","1"
"108326811","13","1"
"108326811","1","1"
"108326811","1","1"
"108326856","1","0"
"108326867","1","0"
"108327538","1","0"
"108327538","3","0"
"108327744","4","0"
"108327744","2","0"
"108327744","1","0"
"108329656","11","1"
"108329695","3","0"
"108331493","3","0"
"108331493","2","0"
"108331493","1","0"
"108331580","9","0"
"108334182","3","1"
"108334182","2","1"
"108334182","12","1"
"108352348","1","2"
"108365459","3","1"
"108365459","2","1"
"108365569","2","0"
"108365569","1","0"
"108365569","10","0"
"108366292","2","0"
"108366292","1","0"
"108366292","4","0"
"108367672","1","0"
"108368035","3","0"
"108368035","2","0"
"108368035","1","0"
"108368035","1","0"
"108368036","5","2"
"108368081","3","0"
"108368081","2","0"
"108368140","3","0"
"108368140","2","0"
"108368318","3","0"
"108368318","2","0"
"108368318","1","0"
"108368318","1","0"
"108368358","3","0"
"108368358","2","0"
"108368480","3","0"
"108368480","2","0"
"108368480","1","0"
"108368578","2","1"
"108368578","1","1"
"108368578","11","1"
"108368578","3","1"
"108368656","3","0"
"108368678","5","0"
"108368678","3","0"
"108368678","3","0"
"108368678","2","0"
"108368678","1","0"
"108368711","11","1"
"108368793","2","0"
"108368852","3","0"
"108368918","3","0"
"108368918","2","0"
"108368918","1","0"
"108368918","3","0"
"108368989","3","0"
"108368989","1","0"
"108368989","4","0"
"108369030","9","0"
"108369069","3","0"
"108369069","2","0"
"108369069","1","0"
"108369143","4","0"
"108369143","0","0"
"108369143","3","0"
"108369143","1","0"
"108369172","3","0"
"108369172","1","0"
"108369172","2","0"
"108369243","2","1"
"108369243","1","1"
"108369243","12","1"
"108369257","3","0"
"108369257","2","0"
"108369364","8","0"
"108369473","3","0"
"108369473","2","0"
"108369599","3","0"
"108369599","2","0"
"108369630","3","0"
"108369671","3","0"
"108369728","3","0"
"108369763","3","0"
"108369808","3","0"
"108370235","3","0"
"108370639","3","0"
"108370962","11","1"
"108371264","3","0"
"108372588","1","0"
"108372588","3","0"
"108372588","2","0"
"108373800","1","1"
"108373800","11","1"
"108374246","3","0"
"108375226","3","0"
"108375226","2","0"
"108375226","1","0"
"108375906","3","0"
"108376027","3","0"
"108376493","2","0"
"108376493","1","0"
"108376493","3","0"
"108376746","1","0"
"108376746","10","0"
"108376887","3","0"
"108376887","2","0"
"108377255","13","1"
"108377617","3","0"
"108377617","2","0"
"108377617","1","0"
"108377959","3","0"
"108377959","2","0"
"108377959","1","0"
"108377959","3","0"
"108378143","3","0"
"108378143","2","0"
"108378143","1","0"
"108379544","3","0"
"108379544","2","0"
"108379544","1","0"
"108379544","3","0"
"108379755","3","0"
"108379885","13","0"
"108380408","3","0"
"108380784","12","1"
"108380784","1","1"
"108381203","3","0"
"108381203","2","0"
"108381203","1","0"
"108381429","3","0"
"108381649","3","0"
"108381649","2","0"
"108382043","1","0"
"108382043","10","0"
"108382462","11","1"
"108382486","3","0"
"108383048","1","0"
"108383048","3","0"
"108383048","2","0"
"108383048","1","0"
"108383442","9","0"
"108383693","8","0"
"108383698","3","0"
"108383698","2","0"
"108383698","1","0"
"108383698","1","0"
"108384050","11","1"
"108384113","3","0"
"108384113","2","0"
"108385698","3","0"
"108385698","2","0"
"108387314","3","0"
"108387314","2","0"
"108388201","3","0"
"108388474","3","0"
"108388474","2","0"
"108388980","3","0"
"108388980","2","0"
"108388980","1","0"
"108388980","6","0"
"108389282","3","0"
"108389562","3","0"
"108389562","1","0"
"108392311","3","0"
"108393044","3","0"
"108393044","2","0"
"108393044","11","0"
"108393661","3","0"
"108393661","2","0"
"108393661","1","0"
"108393661","7","0"
"108394527","3","0"
"108394527","2","0"
"108394652","2","0"
"108394652","3","0"
"108394912","3","0"
"108395188","3","0"
"108396299","3","0"
"108396299","3","0"
"108396907","2","0"
"108396907","1","0"
"108396907","8","0"
"108396913","3","0"
"108396913","6","0"
"108396913","2","0"
"108396913","1","0"
"108397538","3","0"
"108398333","2","0"
"108398333","1","0"
"108398333","3","0"
"108398602","3","0"
"108398602","2","0"
"108398668","3","0"
"108398668","2","0"
"108398668","1","0"
"108398668","3","0"
"108401681","3","0"
"108401828","3","0"
"108401968","3","0"
"108402323","2","1"
"108402323","1","1"
"108402323","12","1"
"108402670","2","0"
"108402670","1","0"
"108402670","7","0"
"108402951","1","0"
"108402951","3","0"
"108402951","2","0"
"108404101","3","0"
"108404101","2","0"
"108405155","3","0"
"108405155","2","0"
"108405155","2","0"
"108405155","1","0"
"108405155","1","0"
"108405909","2","1"
"108405909","1","1"
"108405909","11","1"
"108407563","3","0"
"108407563","2","0"
"108407563","1","0"
"108407563","4","0"
"108407932","2","1"
"108407932","1","1"
"108407932","11","1"
"108408258","3","0"
"108408321","5","0"
"108408356","3","0"
"108408356","2","0"
"108408356","1","0"
"108408356","3","0"
"108408814","1","1"
"108409160","3","0"
"108409473","3","0"
"108409473","2","0"
"108409473","1","0"
"108409473","5","0"
"108409771","3","0"
"108409771","2","0"
"108409830","11","1"
"108410131","3","0"
"108410131","2","0"
"108410566","3","0"
"108412450","3","0"
"108414289","3","0"
"108414289","1","0"
"108414907","3","0"
"108414907","2","0"
"108414907","5","0"
"108415387","3","0"
"108415387","2","0"
"108415387","1","0"
"108415387","3","0"
"108415988","3","0"
"108415988","2","0"
"108416175","3","0"
"108416175","2","0"
"108416300","3","0"
"108416300","1","0"
"108416300","5","0"
"108417248","3","0"
"108417248","3","0"
"108417804","3","0"
"108418345","3","0"
"108418701","3","0"
"108418701","2","0"
"108418701","1","0"
"108418701","5","0"
"108419109","3","0"
"108419109","2","0"
"108419756","3","0"
"108422188","2","1"
"108422188","1","1"
"108422188","12","1"
"108424819","3","0"
"108426017","1","0"
"108426017","3","0"
"108426017","2","0"
"108426017","1","0"
"108428576","3","0"
"108431206","3","0"
"108434576","3","0"
"108434576","2","0"
"108434576","1","0"
"108434576","7","0"
"108437249","3","0"
"108437249","2","0"
"108437249","7","0"
"108439298","3","0"
"108439845","2","0"
"108439845","3","0"
"108440889","3","0"
"108481754","6","0"
"108481754","3","0"
"108481754","2","0"
"108481754","1","0"
"108484615","3","0"
"108488088","11","1"
"108514703","3","0"
"108519594","2","1"
"108520381","2","0"
"108543037","3","0"
"108582244","1","0"
"108582244","4","0"
"108582244","3","0"
"108582244","2","0"
"108582244","1","0"
"108595995","11","1"
"108604854","4","1"
"108604854","2","1"
"108604854","11","1"
"108612075","1","0"
"108612075","1","0"
"108612075","3","0"
"108612075","2","0"
"108612075","1","0"
"108634462","1","1"
"108652821","3","0"
"108652821","2","0"
"108652821","6","0"
"108656719","2","1"
"108656719","1","1"
"108656719","11","1"
"108660245","3","0"
"108800805","3","0"
"108800805","2","0"
"108800805","1","0"
"108800805","5","0"
"108826772","3","0"
"108827186","11","1"
"108827272","3","0"
"108827428","3","0"
"108827428","2","0"
"108827428","1","0"
"108829021","3","0"
"108829021","2","0"
"108829021","3","0"
"108829205","11","1"
"108831055","5","0"
"108831055","3","0"
"108831055","2","0"
"108831055","1","0"
"108831055","5","0"
"108845468","4","0"
"108850668","1","0"
"108850668","1","0"
"108851813","7","0"
"108851922","3","0"
"108851922","2","0"
"108851922","1","0"
"108851922","3","0"
"108866192","3","0"
"108866192","2","0"
"108866430","3","0"
"108866430","2","0"
"108866430","6","0"
"108866492","3","0"
